
 name             | date       | hour | time             | acousticness | album_name                                | album_release_date | artists                                   | danceability | duration_ms | energy | id    | instrumentalness | liveness | loudness | mode | musical_key | song                                                         | speechiness | tempo     | valence
------------------+------------+------+------------------+--------------+-------------------------------------------+--------------------+-------------------------------------------+--------------+-------------+--------+-------+------------------+----------+----------+------+-------------+--------------------------------------------------------------+-------------+-----------+---------
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:31 |        0.049 |                        Unorthodox Jukebox |         2012-12-07 |                                Bruno Mars |        0.726 |      233478 |  0.698 | 33851 |                0 |    0.309 |   -4.165 |    1 |           5 |                                         Locked out of Heaven |      0.0431 |   143.994 |   0.867
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:30 |        0.922 |                               soittorasia |         2024-01-05 |                                 pehmoaino |        0.703 |       64973 |  0.364 | 90164 |                0 |    0.129 |  -10.308 |    1 |          11 |                                                           <3 |       0.791 |    55.067 |   0.205
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:29 |       0.0167 |                   Traveling in Dimensions |         2022-09-25 |                         Wanderson Bezerra |        0.535 |      105222 |  0.314 | 52211 |            0.814 |    0.112 |  -20.734 |    1 |           7 |                                             Dimension Change |       0.076 |   174.985 |   0.176
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:27 |      0.00125 |                         Dizzy up the Girl |         1998-09-11 |                         The Goo Goo Dolls |        0.315 |      289533 |  0.715 | 98372 |         7.97e-06 |   0.0942 |   -8.072 |    0 |          11 |                                                         Iris |      0.0362 |   155.925 |   0.497
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:26 |        0.637 |                                      käpy |         2023-10-10 |                                     koira |        0.705 |      177839 |  0.631 | 10564 |                0 |    0.132 |   -4.906 |    1 |           3 |                                                         käpy |       0.176 |    81.956 |   0.642
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:25 |        0.121 |             Dial Drunk (with Post Malone) |         2023-07-18 |                   Noah Kahan, Post Malone |        0.667 |      213817 |  0.613 | 56495 |                0 |    0.113 |   -7.147 |    1 |           8 |                                Dial Drunk (with Post Malone) |      0.0313 |   112.046 |   0.681
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:24 |        0.044 |                                      2013 |         2023-11-17 |                      BHZ, Monk, Ion Miles |        0.625 |      172136 |  0.732 | 56481 |          1.4e-05 |   0.0694 |   -6.355 |    0 |           1 |                                                  Crash Dummy |      0.0767 |   147.013 |   0.305
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:23 |        0.792 |                                Surat Hati |         2023-08-11 |                                    Devano |        0.538 |      294666 |  0.381 | 13244 |          4.8e-05 |    0.087 |   -12.68 |    1 |           5 |                                                   Surat Hati |      0.0304 |    90.036 |   0.302
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:22 |        0.104 |                          KUHU KADUS STEN? |         2022-11-09 |                     gameboy tetris, nublu |        0.794 |      163822 |  0.813 | 24045 |          0.00273 |    0.239 |   -6.517 |    0 |           1 |                                             KUHU KADUS STEN? |      0.0619 |   120.989 |   0.809
